opportunity_id,name,account,account_id,parent_account,stage,arr,probability,weighted_arr,close_date,prior_close_date,original_close_date,stage_entered_date,days_in_stage,owner,previous_owner,owner_changed_at,opportunity_type,is_renewal,is_expansion,renewal_arr_at_risk,probability_override,probability_override_reason,system_probability,forecast_category,next_step,last_activity_date,source_system
OPP-201,3PL Robotics Rollout,Northgate 3PL,ACCT-001,Northgate Logistics,Procurement,900000,70,630000,2026-10-15,2026-09-15,2026-08-31,2026-04-08,68,A. Rivera,J. Chen,2026-05-20,new_business,false,false,,0.70,VP override after verbal procurement support,0.58,Commit,"Legal redlines still open; customer delayed security questionnaire",2026-06-06,PipelineHub
OPP-202,Fulfillment AI Expansion,Cardinal Fulfillment,ACCT-002,Cardinal Fulfillment,Contracting,"$820,000",85%,740000,09/30/2026,08/30/2026,2026-08-15,2026-05-01,45,A. Rivera,,2026-05-01,expansion,false,true,,0.85,Expansion champion requested executive business case,0.72,Best Case,"Commercial terms approved; implementation start date moved to Q4",2026-06-11,PipelineHub
OPP-203,Warehouse Vision Pilot,Beacon Logistics,ACCT-003,Beacon Logistics,Technical validation,760000,TBD,,2026/11/20,2026/10/20,2026-09-30,2026-03-15,92,J. Chen,A. Rivera,2026-04-12,new_business,false,false,,,No probability because technical validation success criteria missing,0.38,Pipeline,"Waiting on customer test dataset and security architecture review",2026-04-15,PipelineHub
OPP-204,Regional 3PL Automation,Summit Supply,ACCT-004,Summit Supply,Procurement,700000,0.75,525000,30-Sep-2026,30-Sep-2026,30-Sep-2026,2026-04-28,48,J. Chen,,2026-04-28,new_business,false,false,,,,0.75,Best Case,"Procurement wants discount approval before signing",2026-06-09,PipelineHub
OPP-205,Enterprise Robotics Platform,Atlas Freight,ACCT-005,Atlas Freight,Discovery,1200000,manual,300000,Dec 15 2026,Dec 01 2026,2026-11-15,2026-02-20,116,M. Osei,L. Brooks,2026-05-30,new_business,false,false,,0.25,Manual CFO probability override after stalled discovery,0.42,Pipeline,"Mutual action plan not accepted by customer",2026-03-20,PipelineHub
OPP-206,Mid-market Autonomy,Delta Depot,ACCT-006,Delta Depot,Technical validation,600000,55%,330000,2026.11.10,2026.11.10,2026-10-31,2026-05-05,41,M. Osei,,2026-05-05,new_business,false,false,,,,0.55,Pipeline,"Proof-of-value in progress",2026-06-05,PipelineHub
OPP-207,Ops AI Suite,Vertex Goods,ACCT-007,Vertex Goods,Contracting,680000,0.85,578000,2026-09-25,2026-08-25,2026-08-25,2026-04-10,66,A. Rivera,J. Chen,2026-05-18,expansion,false,true,,0.85,Exec sponsor added expansion scope,0.78,Commit,"MSA amendment pending finance approval",2026-06-08,PipelineHub
OPP-208,WMS Renewal Defense,Northgate Logistics,ACCT-001,Northgate Logistics,Renewal,450000,90%,405000,2026-08-31,2026-08-31,2026-08-31,2026-03-01,106,C. Malik,A. Rivera,2026-04-01,renewal,true,false,450000,0.90,Renewal probability set by CSM health score despite unresolved support credits,0.82,Commit,"Resolve support credit dispute before renewal signature",2026-05-01,PipelineHub
OPP-209,Cardinal EU Expansion,Cardinal Fulfilment,ACCT-002,Cardinal Fulfillment,Discovery,520000,35%,182000,2026-12-20,2026-11-20,2026-10-31,2026-04-01,75,L. Brooks,A. Rivera,2026-05-25,expansion,false,true,,0.35,Regional team override; no partner implementation plan,0.24,Pipeline,"Needs EU data residency review",2026-04-25,PipelineHub
OPP-210,Beacon Renewal Save,Beacon Logistics,ACCT-003,Beacon Logistics,Renewal,380000,60%,228000,2026-07-31,2026-07-31,2026-07-31,2026-02-01,134,C. Malik,J. Chen,2026-05-10,renewal,true,false,380000,0.60,CSM override while downgrade risk unresolved,0.72,Best Case,"Customer considering seat downgrade; success plan incomplete",2026-04-01,PipelineHub
OPP-211,Summit Cross-sell Autonomy,Summit Supply Co,ACCT-004,Summit Supply,Proposal,310000,65%,201500,2026-09-30,2026-09-30,2026-09-15,2026-05-25,21,J. Chen,,2026-05-25,expansion,false,true,,,,0.65,Best Case,"Cross-sell tied to regional automation close",2026-06-12,PipelineHub
OPP-212,Ghost Pilot Reopen,Harbor Freight Ops,ACCT-008,Harbor Freight Ops,Discovery,260000,40%,104000,2026-10-31,2026-10-31,2026-09-30,2026-01-10,156,L. Brooks,M. Osei,2026-04-05,new_business,false,false,,0.40,Reopened from lost; no current economic buyer,0.18,Pipeline,"No meeting since April; needs qualification reset",2026-03-15,PipelineHub
