opportunity_id,name,account,stage,arr,probability,weighted_arr,close_date,owner,segment,forecast_category,security_review_required,source_system
SX-OPP-00001,NASA Commercial Crew - orbital launch and Starlink broadband services,NASA Commercial Crew,Prospecting,28000000,0.12,3360000.0,2026-07-01,Gwynne Shotwell,enterprise,pipeline,yes,PipelineHub
SX-OPP-00002,NASA Artemis HLS - orbital launch and Starlink broadband services,NASA Artemis HLS,Technical validation,30100000,0.25,7525000.0,2026-08-02,Tim Hughes,mid-market,best case,no,PipelineHub
SX-OPP-00003,NASA CRS Resupply - orbital launch and Starlink broadband services,NASA CRS Resupply,Legal,32200000,0.45,14490000.0,2026-09-03,Bret Johnsen,strategic,commit,no,PipelineHub
SX-OPP-00004,US Space Force NSSL - orbital launch and Starlink broadband services,US Space Force NSSL,Security review,34300000,0.55,18865000.0,2026-10-04,Mark Juncosa,commercial,pipeline,no,PipelineHub
SX-OPP-00005,National Reconnaissance Office - orbital launch and Starlink broadband services,National Reconnaissance Office,Procurement,36400000,0.65,23660000.0,2026-11-05,Lee Rosen,government,best case,no,PipelineHub
SX-OPP-00006,SES Global - orbital launch and Starlink broadband services,SES Global,Closed won,38500000,0.75,28875000.0,2026-12-06,Kathy Lueders,enterprise,commit,no,PipelineHub
SX-OPP-00007,Eutelsat - orbital launch and Starlink broadband services,Eutelsat,Verbal commit,40600000,0.88,35728000.0,2026-07-07,Gwynne Shotwell,mid-market,pipeline,no,PipelineHub
SX-OPP-00008,OneWeb - orbital launch and Starlink broadband services,OneWeb,Qualification,42700000,1.0,42700000.0,2026-08-08,Tim Hughes,strategic,best case,yes,PipelineHub
SX-OPP-00009,Intuitive Machines - orbital launch and Starlink broadband services,Intuitive Machines,Prospecting,44800000,0.12,5376000.0,2026-09-09,Bret Johnsen,commercial,commit,no,PipelineHub
SX-OPP-00010,AST SpaceMobile - orbital launch and Starlink broadband services,AST SpaceMobile,Technical validation,46900000,0.25,11725000.0,2026-10-10,Mark Juncosa,government,pipeline,no,PipelineHub
