txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,source_system,department,cost_center
VM-GL-00001,2026-01-06,4000 Revenue,Verdant MedTech Labs customer receipt - Alder County Health North region,70200,USD,revenue,,,CloudLedger,Revenue,VM-REV
VM-GL-00002,2026-01-09,4000 Revenue,Verdant MedTech Labs customer receipt - Brightpath Clinics North region,83850,USD,revenue,,,CloudLedger,Revenue,VM-REV
VM-GL-00003,2026-01-12,4000 Revenue,Verdant MedTech Labs customer receipt - Meadowline Diagnostics North region,97500,USD,revenue,,,CloudLedger,Revenue,VM-REV
VM-GL-00004,2026-01-15,4000 Revenue,Verdant MedTech Labs customer receipt - Summit Ward Network North region,111150,USD,revenue,,,CloudLedger,Revenue,VM-REV
VM-GL-00005,2026-01-18,4000 Revenue,Verdant MedTech Labs customer receipt - Pinecrest Care Group North region,124800,USD,revenue,,,CloudLedger,Revenue,VM-REV
VM-GL-00006,2026-01-09,6000 Payroll,Verdant MedTech Labs payroll batch 1,-123050,USD,payroll,,,CloudLedger,People,VM-PAY
VM-GL-00007,2026-01-12,6000 Payroll,Verdant MedTech Labs payroll batch 2,-132680,USD,payroll,,,CloudLedger,People,VM-PAY
VM-GL-00008,2026-01-15,6000 Payroll,Verdant MedTech Labs payroll batch 3,-142310,USD,payroll,,,CloudLedger,People,VM-PAY
VM-GL-00009,2026-01-18,6000 Payroll,Verdant MedTech Labs payroll batch 4,-151940,USD,payroll,,,CloudLedger,People,VM-PAY
VM-GL-00010,2026-01-12,6510 Infrastructure,ProtocolWorks Validation payment for 2026-01,-13363.2,USD,Clinical Platform,VM-VEN-001,ProtocolWorks Validation,CloudLedger,Clinical Platform,VM-200
VM-GL-00011,2026-01-15,6520 Professional Services,CareGrid Hosting payment for 2026-01,-13895,USD,Quality Systems,VM-VEN-002,CareGrid Hosting,CloudLedger,Quality Systems,VM-201
VM-GL-00012,2026-01-18,6530 Security,Chartwell Privacy Labs payment for 2026-01,-17603,USD,Customer Success,VM-VEN-003,Chartwell Privacy Labs,CloudLedger,Customer Success,VM-202
VM-GL-00013,2026-01-21,6540 Operations,Sterling Device QA payment for 2026-01,-21564,USD,Finance,VM-VEN-004,Sterling Device QA,CloudLedger,Finance,VM-203
VM-GL-00014,2026-01-24,6550 Software,TrialBridge Analytics payment for 2026-01,-25778,USD,Security,VM-VEN-005,TrialBridge Analytics,CloudLedger,Security,VM-204
VM-GL-00015,2026-01-27,6510 Infrastructure,Northlake Data Rooms payment for 2026-01,-25870,USD,Regulatory,VM-VEN-006,Northlake Data Rooms,CloudLedger,Regulatory,VM-205
VM-GL-00016,2026-01-03,6520 Professional Services,BrightBeam Hosting payment for 2026-01,-20300,USD,Cloud,VM-VEN-007,BrightBeam Hosting,CloudLedger,Clinical Platform,VM-206
VM-GL-00017,2026-01-06,6530 Security,PortKey Identity payment for 2026-01,-9706,USD,Identity,VM-VEN-008,PortKey Identity,CloudLedger,Quality Systems,VM-207
VM-GL-00018,2026-01-09,6540 Operations,Cedarline Legal payment for 2026-01,-18865,USD,Legal,VM-VEN-009,Cedarline Legal,CloudLedger,Customer Success,VM-208
VM-GL-00019,2026-01-12,6550 Software,BlueTable Analytics payment for 2026-01,-10196,USD,Data,VM-VEN-010,BlueTable Analytics,CloudLedger,Finance,VM-209
VM-GL-00020,2026-01-15,6510 Infrastructure,Riverbend Recruiting payment for 2026-01,-11705.6,USD,Recruiting,VM-VEN-011,Riverbend Recruiting,CloudLedger,Security,VM-210
VM-GL-00021,2026-01-18,6520 Professional Services,AxisWorks Facilities payment for 2026-01,-6602,USD,Facilities,VM-VEN-012,AxisWorks Facilities,CloudLedger,Regulatory,VM-211
VM-GL-00022,2026-01-21,6530 Security,SlateFox Insurance payment for 2026-01,-9538,USD,Insurance,VM-VEN-013,SlateFox Insurance,CloudLedger,Clinical Platform,VM-212
VM-GL-00023,2026-01-24,6540 Operations,SignalPeak AppSec payment for 2026-01,-14375,USD,Security,VM-VEN-014,SignalPeak AppSec,CloudLedger,Quality Systems,VM-213
VM-GL-00024,2026-01-27,6550 Software,HelpHarbor Desk payment for 2026-01,-7579.5,USD,Support,VM-VEN-015,HelpHarbor Desk,CloudLedger,Customer Success,VM-214
VM-GL-00025,2026-01-03,6510 Infrastructure,CloseFrame Accounting payment for 2026-01,-7980,USD,Finance,VM-VEN-016,CloseFrame Accounting,CloudLedger,Finance,VM-215
VM-GL-00026,2026-01-06,6520 Professional Services,SkillHarbor Learning payment for 2026-01,-4853,USD,Training,VM-VEN-017,SkillHarbor Learning,CloudLedger,Security,VM-216
VM-GL-00027,2026-01-09,6530 Security,Waypost Travel Desk payment for 2026-01,-7782,USD,Travel,VM-VEN-018,Waypost Travel Desk,CloudLedger,Regulatory,VM-217
VM-GL-00028,2026-01-12,6540 Operations,Tundra Test Labs payment for 2026-01,-9609,USD,Device,VM-VEN-019,Tundra Test Labs,CloudLedger,Clinical Platform,VM-218
VM-GL-00029,2026-01-15,6550 Software,VectorPoint Research payment for 2026-01,-13730,USD,Research,VM-VEN-020,VectorPoint Research,CloudLedger,Quality Systems,VM-219
VM-GL-00030,2026-01-18,6510 Infrastructure,Linebird Communications payment for 2026-01,-4993.28,USD,Comms,VM-VEN-021,Linebird Communications,CloudLedger,Customer Success,VM-220
VM-GL-00031,2026-01-21,6520 Professional Services,Pinehook Operations payment for 2026-01,-14504,USD,Ops,VM-VEN-022,Pinehook Operations,CloudLedger,Finance,VM-221
VM-GL-00032,2026-01-24,6530 Security,Mossbank Data Exchange payment for 2026-01,-9364,USD,Data,VM-VEN-023,Mossbank Data Exchange,CloudLedger,Security,VM-222
VM-GL-00033,2026-01-27,6540 Operations,Ironleaf GRC payment for 2026-01,-8794,USD,Security,VM-VEN-024,Ironleaf GRC,CloudLedger,Regulatory,VM-223
VM-GL-00034,2026-01-03,6550 Software,QuartzPay Services payment for 2026-01,-10535,USD,Payments,VM-VEN-025,QuartzPay Services,CloudLedger,Clinical Platform,VM-224
