entity,export_id,pipeline_snapshot,prepared_by,opportunity_id,name,account,stage,arr,probability,weighted_arr,close_date,owner,region,next_step
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01000,Verdant Platform Expansion,Canyon Group,Discovery,180000,0.25,45000,2026-08-10,A. Rivera,West,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01001,Verdant Automation Rollout,Maple Network,Technical validation,265000,0.45,119250,2026-09-13,J. Chen,Central,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01002,Verdant Analytics Upgrade,Blue Mesa Holdings,Procurement,350000,0.65,227500,2026-10-16,M. Osei,East,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01003,Verdant Enterprise Launch,Redwood Cooperative,Contracting,435000,0.82,356700,2026-11-19,N. Patel,Enterprise,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01004,Verdant Platform Expansion,Silver Harbor,Discovery,520000,0.25,130000,2026-12-22,S. Avery,West,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01005,Verdant Automation Rollout,North Pier,Technical validation,605000,0.45,272250,2026-08-25,A. Rivera,Central,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01006,Verdant Analytics Upgrade,Orchard Depot,Procurement,690000,0.65,448500,2026-09-11,J. Chen,East,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01007,Verdant Enterprise Launch,Summit Supply,Contracting,775000,0.82,635500,2026-10-14,M. Osei,Enterprise,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01008,Verdant Platform Expansion,Harborline,Discovery,860000,0.25,215000,2026-11-17,N. Patel,West,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01009,Verdant Automation Rollout,Greenfork Retailers,Technical validation,222000,0.45,99900,2026-12-20,S. Avery,Central,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01010,Verdant Analytics Upgrade,Canyon Group,Procurement,307000,0.65,199550,2026-08-23,A. Rivera,East,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01011,Verdant Enterprise Launch,Maple Network,Contracting,392000,0.82,321440,2026-09-26,J. Chen,Enterprise,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01012,Verdant Platform Expansion,Blue Mesa Holdings,Discovery,477000,0.25,119250,2026-10-12,M. Osei,West,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01013,Verdant Automation Rollout,Redwood Cooperative,Technical validation,562000,0.45,252900,2026-11-15,N. Patel,Central,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01014,Verdant Analytics Upgrade,Silver Harbor,Procurement,647000,0.65,420550,2026-12-18,S. Avery,East,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01015,Verdant Enterprise Launch,North Pier,Contracting,732000,0.82,600240,2026-08-21,A. Rivera,Enterprise,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01016,Verdant Platform Expansion,Orchard Depot,Discovery,817000,0.25,204250,2026-09-24,J. Chen,West,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01017,Verdant Automation Rollout,Summit Supply,Technical validation,902000,0.45,405900,2026-10-10,M. Osei,Central,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01018,Verdant Analytics Upgrade,Harborline,Procurement,264000,0.65,171600,2026-11-13,N. Patel,East,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01019,Verdant Enterprise Launch,Greenfork Retailers,Contracting,349000,0.82,286180,2026-12-16,S. Avery,Enterprise,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01020,Verdant Platform Expansion,Canyon Group,Discovery,434000,0.25,108500,2026-08-19,A. Rivera,West,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01021,Verdant Automation Rollout,Maple Network,Technical validation,519000,0.45,233550,2026-09-22,J. Chen,Central,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01022,Verdant Analytics Upgrade,Blue Mesa Holdings,Procurement,604000,0.65,392600,2026-10-25,M. Osei,East,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01023,Verdant Enterprise Launch,Redwood Cooperative,Contracting,689000,0.82,564980,2026-11-11,N. Patel,Enterprise,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01024,Verdant Platform Expansion,Silver Harbor,Discovery,774000,0.25,193500,2026-12-14,S. Avery,West,security review
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01025,Verdant Automation Rollout,North Pier,Technical validation,859000,0.45,386550,2026-08-17,A. Rivera,Central,procurement packet
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01026,Verdant Analytics Upgrade,Orchard Depot,Procurement,944000,0.65,613600,2026-09-20,J. Chen,East,technical workshop
Verdant MedTech Labs,VM-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,VM-OPP-01027,Verdant Enterprise Launch,Summit Supply,Contracting,306000,0.82,250920,2026-10-23,M. Osei,Enterprise,security review
