txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,source_system,department,cost_center
SX-GL-00001,2026-01-04,4000 Revenue,SpaceX customer receipt - NASA Commercial Crew,85000000,USD,revenue,,,CloudLedger,Revenue,SX-REV
SX-GL-00002,2026-01-07,4000 Revenue,SpaceX customer receipt - NASA Artemis HLS,89200000,USD,revenue,,,CloudLedger,Revenue,SX-REV
SX-GL-00003,2026-01-10,4000 Revenue,SpaceX customer receipt - NASA CRS Resupply,93400000,USD,revenue,,,CloudLedger,Revenue,SX-REV
SX-GL-00004,2026-01-13,4000 Revenue,SpaceX customer receipt - US Space Force NSSL,97600000,USD,revenue,,,CloudLedger,Revenue,SX-REV
SX-GL-00005,2026-01-16,4000 Revenue,SpaceX customer receipt - National Reconnaissance Office,101800000,USD,revenue,,,CloudLedger,Revenue,SX-REV
SX-GL-00006,2026-01-07,6000 Payroll,SpaceX payroll batch 1,-145000000,USD,payroll,,,CloudLedger,People,SX-PAY
SX-GL-00007,2026-01-10,6000 Payroll,SpaceX payroll batch 2,-145000000,USD,payroll,,,CloudLedger,People,SX-PAY
SX-GL-00008,2026-01-13,6000 Payroll,SpaceX payroll batch 3,-145000000,USD,payroll,,,CloudLedger,People,SX-PAY
SX-GL-00009,2026-01-16,6000 Payroll,SpaceX payroll batch 4,-145000000,USD,payroll,,,CloudLedger,People,SX-PAY
SX-GL-00010,2026-01-04,6510 Infrastructure,Panasonic Energy payment for 2026-01,-350000.0,USD,Starlink Hardware,SX-VEN-001,Panasonic Energy,CloudLedger,Starlink,SX-200
SX-GL-00011,2026-01-05,6520 Professional Services,Amazon Web Services payment for 2026-01,-233333.33,USD,Cloud Infrastructure,SX-VEN-002,Amazon Web Services,CloudLedger,Ground Systems,SX-201
SX-GL-00012,2026-01-06,6530 Security,Honeywell Aerospace payment for 2026-01,-162500.0,USD,Avionics Components,SX-VEN-003,Honeywell Aerospace,CloudLedger,Avionics,SX-202
SX-GL-00013,2026-01-07,6540 Operations,L3Harris Technologies payment for 2026-01,-140000.0,USD,Communications,SX-VEN-004,L3Harris Technologies,CloudLedger,Starlink,SX-203
SX-GL-00014,2026-01-08,6550 Software,Ball Aerospace payment for 2026-01,-200000.0,USD,Satellite Payloads,SX-VEN-005,Ball Aerospace,CloudLedger,Starlink,SX-204
SX-GL-00015,2026-01-09,6510 Infrastructure,ViaSat Ground Network payment for 2026-01,-74166.67,USD,Ground Segment,SX-VEN-006,ViaSat Ground Network,CloudLedger,Ground Systems,SX-205
