txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,source_system,department,cost_center
HF-GL-00001,2026-01-06,4000 Revenue,HelioForge Energy Systems customer receipt - Sunvale Municipal Power North region,64800,USD,revenue,,,CloudLedger,Revenue,HF-REV
HF-GL-00002,2026-01-09,4000 Revenue,HelioForge Energy Systems customer receipt - Cinder Ridge Storage North region,77400,USD,revenue,,,CloudLedger,Revenue,HF-REV
HF-GL-00003,2026-01-12,4000 Revenue,HelioForge Energy Systems customer receipt - Northbay Microgrid North region,90000,USD,revenue,,,CloudLedger,Revenue,HF-REV
HF-GL-00004,2026-01-15,4000 Revenue,HelioForge Energy Systems customer receipt - Weldon Utility Labs North region,102600,USD,revenue,,,CloudLedger,Revenue,HF-REV
HF-GL-00005,2026-01-18,4000 Revenue,HelioForge Energy Systems customer receipt - Copper Mesa Energy North region,115200,USD,revenue,,,CloudLedger,Revenue,HF-REV
HF-GL-00006,2026-01-09,6000 Payroll,HelioForge Energy Systems payroll batch 1,-117300,USD,payroll,,,CloudLedger,People,HF-PAY
HF-GL-00007,2026-01-12,6000 Payroll,HelioForge Energy Systems payroll batch 2,-126480,USD,payroll,,,CloudLedger,People,HF-PAY
HF-GL-00008,2026-01-15,6000 Payroll,HelioForge Energy Systems payroll batch 3,-135660,USD,payroll,,,CloudLedger,People,HF-PAY
HF-GL-00009,2026-01-18,6000 Payroll,HelioForge Energy Systems payroll batch 4,-144840,USD,payroll,,,CloudLedger,People,HF-PAY
HF-GL-00010,2026-01-12,6510 Infrastructure,ArrayPoint Calibration payment for 2026-01,-13363.2,USD,Field Operations,HF-VEN-001,ArrayPoint Calibration,CloudLedger,Field Operations,HF-200
HF-GL-00011,2026-01-15,6520 Professional Services,WattBridge Telemetry payment for 2026-01,-13895,USD,Energy Platform,HF-VEN-002,WattBridge Telemetry,CloudLedger,Energy Platform,HF-201
HF-GL-00012,2026-01-18,6530 Security,FieldNest Dispatch payment for 2026-01,-17603,USD,Hardware,HF-VEN-003,FieldNest Dispatch,CloudLedger,Hardware,HF-202
HF-GL-00013,2026-01-21,6540 Operations,HelioCore Components payment for 2026-01,-21564,USD,Finance,HF-VEN-004,HelioCore Components,CloudLedger,Finance,HF-203
HF-GL-00014,2026-01-24,6550 Software,TurbineDesk Analytics payment for 2026-01,-25778,USD,Security,HF-VEN-005,TurbineDesk Analytics,CloudLedger,Security,HF-204
HF-GL-00015,2026-01-27,6510 Infrastructure,FuseLine Security payment for 2026-01,-25870,USD,Market Expansion,HF-VEN-006,FuseLine Security,CloudLedger,Market Expansion,HF-205
HF-GL-00016,2026-01-03,6520 Professional Services,BrightBeam Hosting payment for 2026-01,-20300,USD,Cloud,HF-VEN-007,BrightBeam Hosting,CloudLedger,Field Operations,HF-206
HF-GL-00017,2026-01-06,6530 Security,PortKey Identity payment for 2026-01,-9706,USD,Identity,HF-VEN-008,PortKey Identity,CloudLedger,Energy Platform,HF-207
HF-GL-00018,2026-01-09,6540 Operations,Cedarline Legal payment for 2026-01,-18865,USD,Legal,HF-VEN-009,Cedarline Legal,CloudLedger,Hardware,HF-208
HF-GL-00019,2026-01-12,6550 Software,BlueTable Analytics payment for 2026-01,-10196,USD,Data,HF-VEN-010,BlueTable Analytics,CloudLedger,Finance,HF-209
HF-GL-00020,2026-01-15,6510 Infrastructure,Riverbend Recruiting payment for 2026-01,-11705.6,USD,Recruiting,HF-VEN-011,Riverbend Recruiting,CloudLedger,Security,HF-210
HF-GL-00021,2026-01-18,6520 Professional Services,AxisWorks Facilities payment for 2026-01,-6602,USD,Facilities,HF-VEN-012,AxisWorks Facilities,CloudLedger,Market Expansion,HF-211
HF-GL-00022,2026-01-21,6530 Security,SlateFox Insurance payment for 2026-01,-9538,USD,Insurance,HF-VEN-013,SlateFox Insurance,CloudLedger,Field Operations,HF-212
HF-GL-00023,2026-01-24,6540 Operations,SignalPeak AppSec payment for 2026-01,-14375,USD,Security,HF-VEN-014,SignalPeak AppSec,CloudLedger,Energy Platform,HF-213
HF-GL-00024,2026-01-27,6550 Software,HelpHarbor Desk payment for 2026-01,-7579.5,USD,Support,HF-VEN-015,HelpHarbor Desk,CloudLedger,Hardware,HF-214
HF-GL-00025,2026-01-03,6510 Infrastructure,CloseFrame Accounting payment for 2026-01,-7980,USD,Finance,HF-VEN-016,CloseFrame Accounting,CloudLedger,Finance,HF-215
HF-GL-00026,2026-01-06,6520 Professional Services,SkillHarbor Learning payment for 2026-01,-4853,USD,Training,HF-VEN-017,SkillHarbor Learning,CloudLedger,Security,HF-216
HF-GL-00027,2026-01-09,6530 Security,Waypost Travel Desk payment for 2026-01,-7782,USD,Travel,HF-VEN-018,Waypost Travel Desk,CloudLedger,Market Expansion,HF-217
HF-GL-00028,2026-01-12,6540 Operations,Tundra Test Labs payment for 2026-01,-9609,USD,Device,HF-VEN-019,Tundra Test Labs,CloudLedger,Field Operations,HF-218
HF-GL-00029,2026-01-15,6550 Software,VectorPoint Research payment for 2026-01,-13730,USD,Research,HF-VEN-020,VectorPoint Research,CloudLedger,Energy Platform,HF-219
HF-GL-00030,2026-01-18,6510 Infrastructure,Linebird Communications payment for 2026-01,-4993.28,USD,Comms,HF-VEN-021,Linebird Communications,CloudLedger,Hardware,HF-220
HF-GL-00031,2026-01-21,6520 Professional Services,Pinehook Operations payment for 2026-01,-14504,USD,Ops,HF-VEN-022,Pinehook Operations,CloudLedger,Finance,HF-221
HF-GL-00032,2026-01-24,6530 Security,Mossbank Data Exchange payment for 2026-01,-9364,USD,Data,HF-VEN-023,Mossbank Data Exchange,CloudLedger,Security,HF-222
HF-GL-00033,2026-01-27,6540 Operations,Ironleaf GRC payment for 2026-01,-8794,USD,Security,HF-VEN-024,Ironleaf GRC,CloudLedger,Market Expansion,HF-223
HF-GL-00034,2026-01-03,6550 Software,QuartzPay Services payment for 2026-01,-10535,USD,Payments,HF-VEN-025,QuartzPay Services,CloudLedger,Field Operations,HF-224
HF-GL-00035,2026-01-06,6510 Infrastructure,HarborDesk Workplace payment for 2026-01,-5967,USD,Facilities,HF-VEN-026,HarborDesk Workplace,CloudLedger,Energy Platform,HF-225
HF-GL-00036,2026-01-09,6520 Professional Services,Northstar Design Office payment for 2026-01,-11315,USD,Design,HF-VEN-027,Northstar Design Office,CloudLedger,Hardware,HF-226
HF-GL-00037,2026-01-12,6530 Security,Watchtower Metrics payment for 2026-01,-5926,USD,Monitoring,HF-VEN-028,Watchtower Metrics,CloudLedger,Finance,HF-227
HF-GL-00038,2026-01-15,6540 Operations,SafeCask Backups payment for 2026-01,-5957.5,USD,Backup,HF-VEN-029,SafeCask Backups,CloudLedger,Security,HF-228
