invoice_id,vendor_name,vendor_id,issue_date,due_date,amount,currency,status,po_number,period,department,cost_center,approver,source_system
LG-AP-00001,ColdTrail Sensors,LG-VEN-001,2026-01-03,2026-02-10,14824.8,USD,in review,,2026-01,Logistics Platform,LG-100,Controller,PayablesDesk
LG-AP-00002,GroveRoute Dispatch,LG-VEN-002,2026-01-06,2026-02-11,13339.2,USD,approved,LG-PO-07103,2026-01,Cold Chain Ops,LG-101,VP Operations,PayablesDesk
LG-AP-00003,BatchMark QA,LG-VEN-003,2026-01-09,2026-02-12,16898.88,USD,approved,LG-PO-07104,2026-01,Customer Success,LG-102,Security Lead,PayablesDesk
LG-AP-00004,HarborShelf Storage,LG-VEN-004,2026-01-12,2026-02-13,20701.44,USD,approved,LG-PO-07105,2026-01,Finance,LG-103,Revenue Ops,PayablesDesk
LG-AP-00005,PantryLedger Analytics,LG-VEN-005,2026-01-15,2026-02-14,24746.88,USD,approved,LG-PO-07106,2026-01,Security,LG-104,Controller,PayablesDesk
LG-AP-00006,ThermoSpan Monitoring,LG-VEN-006,2026-01-18,2026-02-15,24835.2,USD,approved,LG-PO-07107,2026-01,Supply Network,LG-105,VP Operations,PayablesDesk
LG-AP-00007,BrightBeam Hosting,LG-VEN-007,2026-01-21,2026-02-16,19488,USD,approved,LG-PO-07108,2026-01,Logistics Platform,LG-106,Security Lead,PayablesDesk
LG-AP-00008,PortKey Identity,LG-VEN-008,2026-01-24,2026-02-17,9317.76,USD,approved,,2026-01,Cold Chain Ops,LG-107,Revenue Ops,PayablesDesk
LG-AP-00009,Cedarline Legal,LG-VEN-009,2026-01-27,2026-02-18,18110.4,USD,approved,LG-PO-07110,2026-01,Customer Success,LG-108,Controller,PayablesDesk
LG-AP-00010,BlueTable Analytics,LG-VEN-010,2026-01-03,2026-02-19,9788.16,USD,approved,LG-PO-07111,2026-01,Finance,LG-109,VP Operations,PayablesDesk
LG-AP-00011,Riverbend Recruiting,LG-VEN-011,2026-01-06,2026-02-20,12985.9,USD,approved,LG-PO-07112,2026-01,Security,LG-110,Security Lead,PayablesDesk
LG-AP-00012,AxisWorks Facilities,LG-VEN-012,2026-01-09,2026-02-21,6337.92,USD,approved,LG-PO-07113,2026-01,Supply Network,LG-111,Revenue Ops,PayablesDesk
LG-AP-00013,SlateFox Insurance,LG-VEN-013,2026-01-12,2026-02-22,9156.48,USD,approved,LG-PO-07114,2026-01,Logistics Platform,LG-112,Controller,PayablesDesk
LG-AP-00014,SignalPeak AppSec,LG-VEN-014,2026-01-15,2026-02-23,9200,USD,approved,LG-PO-07115,2026-01,Cold Chain Ops,LG-113,VP Operations,PayablesDesk
LG-AP-00015,HelpHarbor Desk,LG-VEN-015,2026-01-18,2026-02-10,7276.32,USD,approved,,2026-01,Customer Success,LG-114,Security Lead,PayablesDesk
LG-AP-00016,CloseFrame Accounting,LG-VEN-016,2026-01-21,2026-02-11,7660.8,USD,approved,LG-PO-07117,2026-01,Finance,LG-115,Revenue Ops,PayablesDesk
LG-AP-00017,SkillHarbor Learning,LG-VEN-017,2026-01-24,2026-02-12,4658.88,USD,approved,LG-PO-07118,2026-01,Security,LG-116,Controller,PayablesDesk
LG-AP-00018,Waypost Travel Desk,LG-VEN-018,2026-01-27,2026-02-13,7470.72,USD,in review,LG-PO-07119,2026-01,Supply Network,LG-117,VP Operations,PayablesDesk
LG-AP-00019,Tundra Test Labs,LG-VEN-019,2026-01-03,2026-02-14,9224.64,USD,approved,LG-PO-07120,2026-01,Logistics Platform,LG-118,Security Lead,PayablesDesk
LG-AP-00020,VectorPoint Research,LG-VEN-020,2026-01-06,2026-02-15,13180.8,USD,approved,LG-PO-07121,2026-01,Cold Chain Ops,LG-119,Revenue Ops,PayablesDesk
LG-AP-00021,Linebird Communications,LG-VEN-021,2026-01-09,2026-02-16,5539.42,USD,approved,LG-PO-07122,2026-01,Customer Success,LG-120,Controller,PayablesDesk
LG-AP-00022,Pinehook Operations,LG-VEN-022,2026-01-12,2026-02-17,13923.84,USD,approved,,2026-01,Finance,LG-121,VP Operations,PayablesDesk
LG-AP-00023,Mossbank Data Exchange,LG-VEN-023,2026-01-15,2026-02-18,8989.44,USD,approved,LG-PO-07124,2026-01,Security,LG-122,Security Lead,PayablesDesk
LG-AP-00024,Ironleaf GRC,LG-VEN-024,2026-01-18,2026-02-19,8442.24,USD,approved,LG-PO-07125,2026-01,Supply Network,LG-123,Revenue Ops,PayablesDesk
LG-AP-00025,QuartzPay Services,LG-VEN-025,2026-01-21,2026-02-20,10113.6,USD,approved,LG-PO-07126,2026-01,Logistics Platform,LG-124,Controller,PayablesDesk
LG-AP-00026,HarborDesk Workplace,LG-VEN-026,2026-01-24,2026-02-21,5728.32,USD,approved,LG-PO-07127,2026-01,Cold Chain Ops,LG-125,VP Operations,PayablesDesk
LG-AP-00027,Northstar Design Office,LG-VEN-027,2026-01-27,2026-02-22,7241.6,USD,approved,LG-PO-07128,2026-01,Customer Success,LG-126,Security Lead,PayablesDesk
LG-AP-00028,Watchtower Metrics,LG-VEN-028,2026-01-03,2026-02-23,5688.96,USD,approved,LG-PO-07129,2026-01,Finance,LG-127,Revenue Ops,PayablesDesk
LG-AP-00029,SafeCask Backups,LG-VEN-029,2026-01-06,2026-02-10,5719.2,USD,approved,,2026-01,Security,LG-100,Controller,PayablesDesk
LG-AP-00030,KeelWorks Procurement,LG-VEN-030,2026-01-09,2026-02-11,9654.72,USD,approved,LG-PO-07131,2026-01,Supply Network,LG-101,VP Operations,PayablesDesk
LG-AP-00031,Alder QA Studio,LG-VEN-031,2026-01-12,2026-02-12,14075.04,USD,approved,LG-PO-07132,2026-01,Logistics Platform,LG-102,Security Lead,PayablesDesk
LG-AP-00032,BridgeLoop Integrations,LG-VEN-032,2026-01-15,2026-02-13,12210.24,USD,approved,LG-PO-07133,2026-01,Cold Chain Ops,LG-103,Revenue Ops,PayablesDesk
LG-AP-00033,Covefront Success Ops,LG-VEN-033,2026-01-18,2026-02-14,11327.52,USD,approved,LG-PO-07134,2026-01,Customer Success,LG-104,Controller,PayablesDesk
LG-AP-00034,PeopleField Systems,LG-VEN-034,2026-01-21,2026-02-15,8971.2,USD,approved,LG-PO-07135,2026-01,Finance,LG-105,VP Operations,PayablesDesk
LG-AP-00035,HarborShelf Storage,LG-VEN-004,2026-02-03,2026-03-10,30620.88,USD,in review,,2026-02,Cold Chain Ops,LG-101,Controller,PayablesDesk
LG-AP-00036,PantryLedger Analytics,LG-VEN-005,2026-02-06,2026-03-11,25778,USD,approved,LG-PO-07137,2026-02,Customer Success,LG-102,VP Operations,PayablesDesk
LG-AP-00037,ThermoSpan Monitoring,LG-VEN-006,2026-02-09,2026-03-12,25870,USD,approved,LG-PO-07138,2026-02,Finance,LG-103,Security Lead,PayablesDesk
LG-AP-00038,BrightBeam Hosting,LG-VEN-007,2026-02-12,2026-03-13,20300,USD,approved,LG-PO-07139,2026-02,Security,LG-104,Revenue Ops,PayablesDesk
LG-AP-00039,PortKey Identity,LG-VEN-008,2026-02-15,2026-03-14,9706,USD,approved,LG-PO-07140,2026-02,Supply Network,LG-105,Controller,PayablesDesk
LG-AP-00040,Cedarline Legal,LG-VEN-009,2026-02-18,2026-03-15,18865,USD,approved,LG-PO-07141,2026-02,Logistics Platform,LG-106,VP Operations,PayablesDesk
LG-AP-00041,BlueTable Analytics,LG-VEN-010,2026-02-21,2026-03-16,10196,USD,approved,LG-PO-07142,2026-02,Cold Chain Ops,LG-107,Security Lead,PayablesDesk
LG-AP-00042,Riverbend Recruiting,LG-VEN-011,2026-02-24,2026-03-17,9145,USD,approved,,2026-02,Customer Success,LG-108,Revenue Ops,PayablesDesk
LG-AP-00043,AxisWorks Facilities,LG-VEN-012,2026-02-27,2026-03-18,6602,USD,approved,LG-PO-07144,2026-02,Finance,LG-109,Controller,PayablesDesk
LG-AP-00044,SlateFox Insurance,LG-VEN-013,2026-02-03,2026-03-19,9538,USD,approved,LG-PO-07145,2026-02,Security,LG-110,VP Operations,PayablesDesk
LG-AP-00045,SignalPeak AppSec,LG-VEN-014,2026-02-06,2026-03-20,20412.5,USD,approved,LG-PO-07146,2026-02,Supply Network,LG-111,Security Lead,PayablesDesk
LG-AP-00046,HelpHarbor Desk,LG-VEN-015,2026-02-09,2026-03-21,7579.5,USD,approved,LG-PO-07147,2026-02,Logistics Platform,LG-112,Revenue Ops,PayablesDesk
LG-AP-00047,CloseFrame Accounting,LG-VEN-016,2026-02-12,2026-03-22,7980,USD,approved,LG-PO-07148,2026-02,Cold Chain Ops,LG-113,Controller,PayablesDesk
LG-AP-00048,SkillHarbor Learning,LG-VEN-017,2026-02-15,2026-03-23,3105.92,USD,approved,LG-PO-07149,2026-02,Customer Success,LG-114,VP Operations,PayablesDesk
LG-AP-00049,Waypost Travel Desk,LG-VEN-018,2026-02-18,2026-03-10,7782,USD,approved,,2026-02,Finance,LG-115,Security Lead,PayablesDesk
LG-AP-00050,Tundra Test Labs,LG-VEN-019,2026-02-21,2026-03-11,9609,USD,approved,LG-PO-07151,2026-02,Security,LG-116,Revenue Ops,PayablesDesk
LG-AP-00051,VectorPoint Research,LG-VEN-020,2026-02-24,2026-03-12,13730,USD,approved,LG-PO-07152,2026-02,Supply Network,LG-117,Controller,PayablesDesk
LG-AP-00052,Linebird Communications,LG-VEN-021,2026-02-27,2026-03-13,3901,USD,in review,LG-PO-07153,2026-02,Logistics Platform,LG-118,VP Operations,PayablesDesk
LG-AP-00053,Pinehook Operations,LG-VEN-022,2026-02-03,2026-03-14,14504,USD,approved,LG-PO-07154,2026-02,Cold Chain Ops,LG-119,Security Lead,PayablesDesk
LG-AP-00054,Mossbank Data Exchange,LG-VEN-023,2026-02-06,2026-03-15,9364,USD,approved,LG-PO-07155,2026-02,Customer Success,LG-120,Revenue Ops,PayablesDesk
LG-AP-00055,Ironleaf GRC,LG-VEN-024,2026-02-09,2026-03-16,12487.48,USD,approved,LG-PO-07156,2026-02,Finance,LG-121,Controller,PayablesDesk
LG-AP-00056,QuartzPay Services,LG-VEN-025,2026-02-12,2026-03-17,10535,USD,approved,,2026-02,Security,LG-122,VP Operations,PayablesDesk
LG-AP-00057,HarborDesk Workplace,LG-VEN-026,2026-02-15,2026-03-18,5967,USD,approved,LG-PO-07158,2026-02,Supply Network,LG-123,Security Lead,PayablesDesk
