txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,source_system,department,cost_center
LG-GL-00001,2026-01-06,4000 Revenue,Lattice Grove Foods customer receipt - Cedar Pantry Co-op North region,60300,USD,revenue,,,CloudLedger,Revenue,LG-REV
LG-GL-00002,2026-01-09,4000 Revenue,Lattice Grove Foods customer receipt - Ridgeway Grocers North region,72025,USD,revenue,,,CloudLedger,Revenue,LG-REV
LG-GL-00003,2026-01-12,4000 Revenue,Lattice Grove Foods customer receipt - Blue Orchard Foods North region,83750,USD,revenue,,,CloudLedger,Revenue,LG-REV
LG-GL-00004,2026-01-15,4000 Revenue,Lattice Grove Foods customer receipt - Meadow Freight Alliance North region,95475,USD,revenue,,,CloudLedger,Revenue,LG-REV
LG-GL-00005,2026-01-18,4000 Revenue,Lattice Grove Foods customer receipt - Urban Harvest Network North region,107200,USD,revenue,,,CloudLedger,Revenue,LG-REV
LG-GL-00006,2026-01-09,6000 Payroll,Lattice Grove Foods payroll batch 1,-111550,USD,payroll,,,CloudLedger,People,LG-PAY
LG-GL-00007,2026-01-12,6000 Payroll,Lattice Grove Foods payroll batch 2,-120280,USD,payroll,,,CloudLedger,People,LG-PAY
LG-GL-00008,2026-01-15,6000 Payroll,Lattice Grove Foods payroll batch 3,-129010,USD,payroll,,,CloudLedger,People,LG-PAY
LG-GL-00009,2026-01-18,6000 Payroll,Lattice Grove Foods payroll batch 4,-137740,USD,payroll,,,CloudLedger,People,LG-PAY
LG-GL-00010,2026-01-12,6510 Infrastructure,ColdTrail Sensors payment for 2026-01,-13363.2,USD,Logistics Platform,LG-VEN-001,ColdTrail Sensors,CloudLedger,Logistics Platform,LG-200
LG-GL-00011,2026-01-15,6520 Professional Services,GroveRoute Dispatch payment for 2026-01,-13895,USD,Cold Chain Ops,LG-VEN-002,GroveRoute Dispatch,CloudLedger,Cold Chain Ops,LG-201
LG-GL-00012,2026-01-18,6530 Security,BatchMark QA payment for 2026-01,-17603,USD,Customer Success,LG-VEN-003,BatchMark QA,CloudLedger,Customer Success,LG-202
LG-GL-00013,2026-01-21,6540 Operations,HarborShelf Storage payment for 2026-01,-21564,USD,Finance,LG-VEN-004,HarborShelf Storage,CloudLedger,Finance,LG-203
LG-GL-00014,2026-01-24,6550 Software,PantryLedger Analytics payment for 2026-01,-25778,USD,Security,LG-VEN-005,PantryLedger Analytics,CloudLedger,Security,LG-204
LG-GL-00015,2026-01-27,6510 Infrastructure,ThermoSpan Monitoring payment for 2026-01,-25870,USD,Supply Network,LG-VEN-006,ThermoSpan Monitoring,CloudLedger,Supply Network,LG-205
LG-GL-00016,2026-01-03,6520 Professional Services,BrightBeam Hosting payment for 2026-01,-20300,USD,Cloud,LG-VEN-007,BrightBeam Hosting,CloudLedger,Logistics Platform,LG-206
LG-GL-00017,2026-01-06,6530 Security,PortKey Identity payment for 2026-01,-9706,USD,Identity,LG-VEN-008,PortKey Identity,CloudLedger,Cold Chain Ops,LG-207
LG-GL-00018,2026-01-09,6540 Operations,Cedarline Legal payment for 2026-01,-18865,USD,Legal,LG-VEN-009,Cedarline Legal,CloudLedger,Customer Success,LG-208
LG-GL-00019,2026-01-12,6550 Software,BlueTable Analytics payment for 2026-01,-10196,USD,Data,LG-VEN-010,BlueTable Analytics,CloudLedger,Finance,LG-209
LG-GL-00020,2026-01-15,6510 Infrastructure,Riverbend Recruiting payment for 2026-01,-11705.6,USD,Recruiting,LG-VEN-011,Riverbend Recruiting,CloudLedger,Security,LG-210
LG-GL-00021,2026-01-18,6520 Professional Services,AxisWorks Facilities payment for 2026-01,-6602,USD,Facilities,LG-VEN-012,AxisWorks Facilities,CloudLedger,Supply Network,LG-211
LG-GL-00022,2026-01-21,6530 Security,SlateFox Insurance payment for 2026-01,-9538,USD,Insurance,LG-VEN-013,SlateFox Insurance,CloudLedger,Logistics Platform,LG-212
LG-GL-00023,2026-01-24,6540 Operations,SignalPeak AppSec payment for 2026-01,-14375,USD,Security,LG-VEN-014,SignalPeak AppSec,CloudLedger,Cold Chain Ops,LG-213
LG-GL-00024,2026-01-27,6550 Software,HelpHarbor Desk payment for 2026-01,-7579.5,USD,Support,LG-VEN-015,HelpHarbor Desk,CloudLedger,Customer Success,LG-214
LG-GL-00025,2026-01-03,6510 Infrastructure,CloseFrame Accounting payment for 2026-01,-7980,USD,Finance,LG-VEN-016,CloseFrame Accounting,CloudLedger,Finance,LG-215
LG-GL-00026,2026-01-06,6520 Professional Services,SkillHarbor Learning payment for 2026-01,-4853,USD,Training,LG-VEN-017,SkillHarbor Learning,CloudLedger,Security,LG-216
LG-GL-00027,2026-01-09,6530 Security,Waypost Travel Desk payment for 2026-01,-7782,USD,Travel,LG-VEN-018,Waypost Travel Desk,CloudLedger,Supply Network,LG-217
LG-GL-00028,2026-01-12,6540 Operations,Tundra Test Labs payment for 2026-01,-9609,USD,Device,LG-VEN-019,Tundra Test Labs,CloudLedger,Logistics Platform,LG-218
LG-GL-00029,2026-01-15,6550 Software,VectorPoint Research payment for 2026-01,-13730,USD,Research,LG-VEN-020,VectorPoint Research,CloudLedger,Cold Chain Ops,LG-219
LG-GL-00030,2026-01-18,6510 Infrastructure,Linebird Communications payment for 2026-01,-4993.28,USD,Comms,LG-VEN-021,Linebird Communications,CloudLedger,Customer Success,LG-220
LG-GL-00031,2026-01-21,6520 Professional Services,Pinehook Operations payment for 2026-01,-14504,USD,Ops,LG-VEN-022,Pinehook Operations,CloudLedger,Finance,LG-221
LG-GL-00032,2026-01-24,6530 Security,Mossbank Data Exchange payment for 2026-01,-9364,USD,Data,LG-VEN-023,Mossbank Data Exchange,CloudLedger,Security,LG-222
LG-GL-00033,2026-01-27,6540 Operations,Ironleaf GRC payment for 2026-01,-8794,USD,Security,LG-VEN-024,Ironleaf GRC,CloudLedger,Supply Network,LG-223
LG-GL-00034,2026-01-03,6550 Software,QuartzPay Services payment for 2026-01,-10535,USD,Payments,LG-VEN-025,QuartzPay Services,CloudLedger,Logistics Platform,LG-224
LG-GL-00035,2026-01-06,6510 Infrastructure,HarborDesk Workplace payment for 2026-01,-5967,USD,Facilities,LG-VEN-026,HarborDesk Workplace,CloudLedger,Cold Chain Ops,LG-225
LG-GL-00036,2026-01-09,6520 Professional Services,Northstar Design Office payment for 2026-01,-11315,USD,Design,LG-VEN-027,Northstar Design Office,CloudLedger,Customer Success,LG-226
LG-GL-00037,2026-01-12,6530 Security,Watchtower Metrics payment for 2026-01,-5926,USD,Monitoring,LG-VEN-028,Watchtower Metrics,CloudLedger,Finance,LG-227
LG-GL-00038,2026-01-15,6540 Operations,SafeCask Backups payment for 2026-01,-5957.5,USD,Backup,LG-VEN-029,SafeCask Backups,CloudLedger,Security,LG-228
LG-GL-00039,2026-01-18,6550 Software,KeelWorks Procurement payment for 2026-01,-10057,USD,Procurement,LG-VEN-030,KeelWorks Procurement,CloudLedger,Supply Network,LG-229
LG-GL-00040,2026-01-21,6510 Infrastructure,Alder QA Studio payment for 2026-01,-12687.36,USD,QA,LG-VEN-031,Alder QA Studio,CloudLedger,Logistics Platform,LG-230
LG-GL-00041,2026-01-24,6520 Professional Services,BridgeLoop Integrations payment for 2026-01,-12719,USD,Integration,LG-VEN-032,BridgeLoop Integrations,CloudLedger,Cold Chain Ops,LG-231
LG-GL-00042,2026-01-27,6530 Security,Covefront Success Ops payment for 2026-01,-11799.5,USD,Customer,LG-VEN-033,Covefront Success Ops,CloudLedger,Customer Success,LG-232
LG-GL-00043,2026-01-03,6540 Operations,PeopleField Systems payment for 2026-01,-9345,USD,HR,LG-VEN-034,PeopleField Systems,CloudLedger,Finance,LG-233
LG-GL-00044,2026-01-15,6100 Rent,Office and lab rent,-42000,USD,rent,,,CloudLedger,Logistics Platform,LG-240
LG-GL-00045,2026-01-18,6110 Benefits,Benefits clearing,-68500,USD,benefits,,,CloudLedger,Cold Chain Ops,LG-241
LG-GL-00046,2026-01-21,6120 Taxes,Payroll taxes,-38200,USD,taxes,,,CloudLedger,Customer Success,LG-242
LG-GL-00047,2026-01-24,6600 Travel,Customer travel,-14800,USD,travel,,,CloudLedger,Finance,LG-243
LG-GL-00048,2026-01-27,6610 Meals,Team meals and meetings,-6200,USD,meals,,,CloudLedger,Security,LG-244
