entity,export_id,pipeline_snapshot,prepared_by,opportunity_id,name,account,stage,arr,probability,weighted_arr,close_date,owner,region,next_step
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01000,Lattice Platform Expansion,Canyon Group,Discovery,180000,0.25,45000,2026-08-10,A. Rivera,West,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01001,Lattice Automation Rollout,Maple Network,Technical validation,265000,0.45,119250,2026-09-13,J. Chen,Central,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01002,Lattice Analytics Upgrade,Blue Mesa Holdings,Procurement,350000,0.65,227500,2026-10-16,M. Osei,East,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01003,Lattice Enterprise Launch,Redwood Cooperative,Contracting,435000,0.82,356700,2026-11-19,N. Patel,Enterprise,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01004,Lattice Platform Expansion,Silver Harbor,Discovery,520000,0.25,130000,2026-12-22,S. Avery,West,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01005,Lattice Automation Rollout,North Pier,Technical validation,605000,0.45,272250,2026-08-25,A. Rivera,Central,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01006,Lattice Analytics Upgrade,Orchard Depot,Procurement,690000,0.65,448500,2026-09-11,J. Chen,East,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01007,Lattice Enterprise Launch,Summit Supply,Contracting,775000,0.82,635500,2026-10-14,M. Osei,Enterprise,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01008,Lattice Platform Expansion,Harborline,Discovery,860000,0.25,215000,2026-11-17,N. Patel,West,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01009,Lattice Automation Rollout,Greenfork Retailers,Technical validation,222000,0.45,99900,2026-12-20,S. Avery,Central,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01010,Lattice Analytics Upgrade,Canyon Group,Procurement,307000,0.65,199550,2026-08-23,A. Rivera,East,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01011,Lattice Enterprise Launch,Maple Network,Contracting,392000,0.82,321440,2026-09-26,J. Chen,Enterprise,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01012,Lattice Platform Expansion,Blue Mesa Holdings,Discovery,477000,0.25,119250,2026-10-12,M. Osei,West,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01013,Lattice Automation Rollout,Redwood Cooperative,Technical validation,562000,0.45,252900,2026-11-15,N. Patel,Central,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01014,Lattice Analytics Upgrade,Silver Harbor,Procurement,647000,0.65,420550,2026-12-18,S. Avery,East,technical workshop
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01015,Lattice Enterprise Launch,North Pier,Contracting,732000,0.82,600240,2026-08-21,A. Rivera,Enterprise,security review
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01016,Lattice Platform Expansion,Orchard Depot,Discovery,817000,0.25,204250,2026-09-24,J. Chen,West,procurement packet
Lattice Grove Foods,LG-PIPELINEHUB-Q3-2026,2026-06-06,Revenue Operations,LG-OPP-01017,Lattice Automation Rollout,Summit Supply,Technical validation,902000,0.45,405900,2026-10-10,M. Osei,Central,technical workshop
