invoice_id,vendor_name,vendor_id,issue_date,due_date,amount,currency,status,po_number,period,department,cost_center,approver,source_system
VM-AP-00001,ProtocolWorks Validation,VM-VEN-001,2026-01-03,2026-02-10,14824.8,USD,in review,,2026-01,Clinical Platform,VM-100,Controller,PayablesDesk
VM-AP-00002,CareGrid Hosting,VM-VEN-002,2026-01-06,2026-02-11,13339.2,USD,approved,VM-PO-07103,2026-01,Quality Systems,VM-101,VP Operations,PayablesDesk
VM-AP-00003,Chartwell Privacy Labs,VM-VEN-003,2026-01-09,2026-02-12,16898.88,USD,approved,VM-PO-07104,2026-01,Customer Success,VM-102,Security Lead,PayablesDesk
VM-AP-00004,Sterling Device QA,VM-VEN-004,2026-01-12,2026-02-13,20701.44,USD,approved,VM-PO-07105,2026-01,Finance,VM-103,Revenue Ops,PayablesDesk
VM-AP-00005,TrialBridge Analytics,VM-VEN-005,2026-01-15,2026-02-14,24746.88,USD,approved,VM-PO-07106,2026-01,Security,VM-104,Controller,PayablesDesk
VM-AP-00006,Northlake Data Rooms,VM-VEN-006,2026-01-18,2026-02-15,24835.2,USD,approved,VM-PO-07107,2026-01,Regulatory,VM-105,VP Operations,PayablesDesk
VM-AP-00007,BrightBeam Hosting,VM-VEN-007,2026-01-21,2026-02-16,19488,USD,approved,VM-PO-07108,2026-01,Clinical Platform,VM-106,Security Lead,PayablesDesk
VM-AP-00008,PortKey Identity,VM-VEN-008,2026-01-24,2026-02-17,9317.76,USD,approved,,2026-01,Quality Systems,VM-107,Revenue Ops,PayablesDesk
VM-AP-00009,Cedarline Legal,VM-VEN-009,2026-01-27,2026-02-18,18110.4,USD,approved,VM-PO-07110,2026-01,Customer Success,VM-108,Controller,PayablesDesk
VM-AP-00010,BlueTable Analytics,VM-VEN-010,2026-01-03,2026-02-19,9788.16,USD,approved,VM-PO-07111,2026-01,Finance,VM-109,VP Operations,PayablesDesk
VM-AP-00011,Riverbend Recruiting,VM-VEN-011,2026-01-06,2026-02-20,12985.9,USD,approved,VM-PO-07112,2026-01,Security,VM-110,Security Lead,PayablesDesk
VM-AP-00012,AxisWorks Facilities,VM-VEN-012,2026-01-09,2026-02-21,6337.92,USD,approved,VM-PO-07113,2026-01,Regulatory,VM-111,Revenue Ops,PayablesDesk
VM-AP-00013,SlateFox Insurance,VM-VEN-013,2026-01-12,2026-02-22,9156.48,USD,approved,VM-PO-07114,2026-01,Clinical Platform,VM-112,Controller,PayablesDesk
VM-AP-00014,SignalPeak AppSec,VM-VEN-014,2026-01-15,2026-02-23,9200,USD,approved,VM-PO-07115,2026-01,Quality Systems,VM-113,VP Operations,PayablesDesk
VM-AP-00015,HelpHarbor Desk,VM-VEN-015,2026-01-18,2026-02-10,7276.32,USD,approved,,2026-01,Customer Success,VM-114,Security Lead,PayablesDesk
VM-AP-00016,CloseFrame Accounting,VM-VEN-016,2026-01-21,2026-02-11,7660.8,USD,approved,VM-PO-07117,2026-01,Finance,VM-115,Revenue Ops,PayablesDesk
VM-AP-00017,SkillHarbor Learning,VM-VEN-017,2026-01-24,2026-02-12,4658.88,USD,approved,VM-PO-07118,2026-01,Security,VM-116,Controller,PayablesDesk
VM-AP-00018,Waypost Travel Desk,VM-VEN-018,2026-01-27,2026-02-13,7470.72,USD,in review,VM-PO-07119,2026-01,Regulatory,VM-117,VP Operations,PayablesDesk
VM-AP-00019,Tundra Test Labs,VM-VEN-019,2026-01-03,2026-02-14,9224.64,USD,approved,VM-PO-07120,2026-01,Clinical Platform,VM-118,Security Lead,PayablesDesk
VM-AP-00020,VectorPoint Research,VM-VEN-020,2026-01-06,2026-02-15,13180.8,USD,approved,VM-PO-07121,2026-01,Quality Systems,VM-119,Revenue Ops,PayablesDesk
VM-AP-00021,Linebird Communications,VM-VEN-021,2026-01-09,2026-02-16,5539.42,USD,approved,VM-PO-07122,2026-01,Customer Success,VM-120,Controller,PayablesDesk
VM-AP-00022,Pinehook Operations,VM-VEN-022,2026-01-12,2026-02-17,13923.84,USD,approved,,2026-01,Finance,VM-121,VP Operations,PayablesDesk
VM-AP-00023,Mossbank Data Exchange,VM-VEN-023,2026-01-15,2026-02-18,8989.44,USD,approved,VM-PO-07124,2026-01,Security,VM-122,Security Lead,PayablesDesk
VM-AP-00024,Ironleaf GRC,VM-VEN-024,2026-01-18,2026-02-19,8442.24,USD,approved,VM-PO-07125,2026-01,Regulatory,VM-123,Revenue Ops,PayablesDesk
VM-AP-00025,QuartzPay Services,VM-VEN-025,2026-01-21,2026-02-20,10113.6,USD,approved,VM-PO-07126,2026-01,Clinical Platform,VM-124,Controller,PayablesDesk
VM-AP-00026,HarborDesk Workplace,VM-VEN-026,2026-01-24,2026-02-21,5728.32,USD,approved,VM-PO-07127,2026-01,Quality Systems,VM-125,VP Operations,PayablesDesk
VM-AP-00027,Northstar Design Office,VM-VEN-027,2026-01-27,2026-02-22,7241.6,USD,approved,VM-PO-07128,2026-01,Customer Success,VM-126,Security Lead,PayablesDesk
VM-AP-00028,Watchtower Metrics,VM-VEN-028,2026-01-03,2026-02-23,5688.96,USD,approved,VM-PO-07129,2026-01,Finance,VM-127,Revenue Ops,PayablesDesk
VM-AP-00029,SafeCask Backups,VM-VEN-029,2026-01-06,2026-02-10,5719.2,USD,approved,,2026-01,Security,VM-100,Controller,PayablesDesk
VM-AP-00030,KeelWorks Procurement,VM-VEN-030,2026-01-09,2026-02-11,9654.72,USD,approved,VM-PO-07131,2026-01,Regulatory,VM-101,VP Operations,PayablesDesk
VM-AP-00031,Alder QA Studio,VM-VEN-031,2026-01-12,2026-02-12,14075.04,USD,approved,VM-PO-07132,2026-01,Clinical Platform,VM-102,Security Lead,PayablesDesk
VM-AP-00032,BridgeLoop Integrations,VM-VEN-032,2026-01-15,2026-02-13,12210.24,USD,approved,VM-PO-07133,2026-01,Quality Systems,VM-103,Revenue Ops,PayablesDesk
VM-AP-00033,Covefront Success Ops,VM-VEN-033,2026-01-18,2026-02-14,11327.52,USD,approved,VM-PO-07134,2026-01,Customer Success,VM-104,Controller,PayablesDesk
VM-AP-00034,PeopleField Systems,VM-VEN-034,2026-01-21,2026-02-15,8971.2,USD,approved,VM-PO-07135,2026-01,Finance,VM-105,VP Operations,PayablesDesk
VM-AP-00035,Sterling Device QA,VM-VEN-004,2026-02-03,2026-03-10,30620.88,USD,in review,,2026-02,Quality Systems,VM-101,Controller,PayablesDesk
VM-AP-00036,TrialBridge Analytics,VM-VEN-005,2026-02-06,2026-03-11,25778,USD,approved,VM-PO-07137,2026-02,Customer Success,VM-102,VP Operations,PayablesDesk
VM-AP-00037,Northlake Data Rooms,VM-VEN-006,2026-02-09,2026-03-12,25870,USD,approved,VM-PO-07138,2026-02,Finance,VM-103,Security Lead,PayablesDesk
VM-AP-00038,BrightBeam Hosting,VM-VEN-007,2026-02-12,2026-03-13,20300,USD,approved,VM-PO-07139,2026-02,Security,VM-104,Revenue Ops,PayablesDesk
VM-AP-00039,PortKey Identity,VM-VEN-008,2026-02-15,2026-03-14,9706,USD,approved,VM-PO-07140,2026-02,Regulatory,VM-105,Controller,PayablesDesk
VM-AP-00040,Cedarline Legal,VM-VEN-009,2026-02-18,2026-03-15,18865,USD,approved,VM-PO-07141,2026-02,Clinical Platform,VM-106,VP Operations,PayablesDesk
VM-AP-00041,BlueTable Analytics,VM-VEN-010,2026-02-21,2026-03-16,10196,USD,approved,VM-PO-07142,2026-02,Quality Systems,VM-107,Security Lead,PayablesDesk
VM-AP-00042,Riverbend Recruiting,VM-VEN-011,2026-02-24,2026-03-17,9145,USD,approved,,2026-02,Customer Success,VM-108,Revenue Ops,PayablesDesk
VM-AP-00043,AxisWorks Facilities,VM-VEN-012,2026-02-27,2026-03-18,6602,USD,approved,VM-PO-07144,2026-02,Finance,VM-109,Controller,PayablesDesk
