opportunity_id,name,account,stage,arr,probability,weighted_arr,close_date,owner,segment,forecast_category,security_review_required,source_system
HF-OPP-00001,Sunvale Municipal Power North region - distributed energy device management platform,Sunvale Municipal Power North region,Prospecting,28000,0.12,3360,2026-07-03,Nora Chen,enterprise,pipeline,yes,PipelineHub
HF-OPP-00002,Cinder Ridge Storage North region - distributed energy device management platform,Cinder Ridge Storage North region,Technical validation,37800,0.45,17010,2026-08-04,Eli Morgan,mid-market,best case,no,PipelineHub
HF-OPP-00003,Northbay Microgrid North region - distributed energy device management platform,Northbay Microgrid North region,Legal,47600,0.65,30940,2026-09-05,Priya Shah,strategic,best case,no,PipelineHub
HF-OPP-00004,Weldon Utility Labs North region - distributed energy device management platform,Weldon Utility Labs North region,Security review,57400,0.55,31570,2026-10-06,Mateo Ortiz,commercial,best case,no,PipelineHub
HF-OPP-00005,Copper Mesa Energy North region - distributed energy device management platform,Copper Mesa Energy North region,Procurement,67200,0.75,50400,2026-11-07,Avery Kim,enterprise,commit,no,PipelineHub
HF-OPP-00006,Sunvale Municipal Power Enterprise - distributed energy device management platform,Sunvale Municipal Power Enterprise,Closed won,70500,1,70500,2026-12-08,Nora Chen,mid-market,commit,no,PipelineHub
HF-OPP-00007,Cinder Ridge Storage Enterprise - distributed energy device management platform,Cinder Ridge Storage Enterprise,Verbal commit,80300,0.88,70664,2026-07-09,Eli Morgan,strategic,commit,yes,PipelineHub
HF-OPP-00008,Northbay Microgrid Enterprise - distributed energy device management platform,Northbay Microgrid Enterprise,Prospecting,90100,0.12,10812,2026-08-10,Priya Shah,commercial,pipeline,no,PipelineHub
HF-OPP-00009,Weldon Utility Labs Enterprise - distributed energy device management platform,Weldon Utility Labs Enterprise,Technical validation,99900,0.45,44955,2026-09-11,Mateo Ortiz,enterprise,best case,no,PipelineHub
HF-OPP-00010,Copper Mesa Energy Enterprise - distributed energy device management platform,Copper Mesa Energy Enterprise,Qualification,109700,0.25,27425,2026-10-12,Avery Kim,mid-market,pipeline,no,PipelineHub
HF-OPP-00011,Sunvale Municipal Power Pilot expansion - distributed energy device management platform,Sunvale Municipal Power Pilot expansion,Security review,113000,0.55,62150,2026-11-13,Nora Chen,strategic,best case,no,PipelineHub
HF-OPP-00012,Cinder Ridge Storage Pilot expansion - distributed energy device management platform,Cinder Ridge Storage Pilot expansion,Procurement,122800,0.75,92100,2026-12-14,Eli Morgan,commercial,commit,no,PipelineHub
HF-OPP-00013,Northbay Microgrid Pilot expansion - distributed energy device management platform,Northbay Microgrid Pilot expansion,Legal,132600,0.65,86190,2026-07-15,Priya Shah,enterprise,best case,yes,PipelineHub
HF-OPP-00014,Weldon Utility Labs Pilot expansion - distributed energy device management platform,Weldon Utility Labs Pilot expansion,Verbal commit,142400,0.88,125312,2026-08-16,Mateo Ortiz,mid-market,commit,no,PipelineHub
HF-OPP-00015,Copper Mesa Energy Pilot expansion - distributed energy device management platform,Copper Mesa Energy Pilot expansion,Prospecting,152200,0.12,18264,2026-09-17,Avery Kim,strategic,pipeline,no,PipelineHub
HF-OPP-00016,Sunvale Municipal Power Renewal desk - distributed energy device management platform,Sunvale Municipal Power Renewal desk,Closed won,155500,1,155500,2026-10-18,Nora Chen,commercial,commit,no,PipelineHub
HF-OPP-00017,Cinder Ridge Storage Renewal desk - distributed energy device management platform,Cinder Ridge Storage Renewal desk,Qualification,165300,0.25,41325,2026-11-19,Eli Morgan,enterprise,pipeline,no,PipelineHub
HF-OPP-00018,Northbay Microgrid Renewal desk - distributed energy device management platform,Northbay Microgrid Renewal desk,Security review,35800,0.55,19690,2026-12-20,Priya Shah,mid-market,best case,no,PipelineHub
