invoice_id,vendor_name,vendor_id,issue_date,due_date,amount,currency,status,po_number,period,department,cost_center,approver,source_system
HF-AP-00001,ArrayPoint Calibration,HF-VEN-001,2026-01-03,2026-02-10,14824.8,USD,in review,,2026-01,Field Operations,HF-100,Controller,PayablesDesk
HF-AP-00002,WattBridge Telemetry,HF-VEN-002,2026-01-06,2026-02-11,13339.2,USD,approved,HF-PO-07103,2026-01,Energy Platform,HF-101,VP Operations,PayablesDesk
HF-AP-00003,FieldNest Dispatch,HF-VEN-003,2026-01-09,2026-02-12,16898.88,USD,approved,HF-PO-07104,2026-01,Hardware,HF-102,Security Lead,PayablesDesk
HF-AP-00004,HelioCore Components,HF-VEN-004,2026-01-12,2026-02-13,20701.44,USD,approved,HF-PO-07105,2026-01,Finance,HF-103,Revenue Ops,PayablesDesk
HF-AP-00005,TurbineDesk Analytics,HF-VEN-005,2026-01-15,2026-02-14,24746.88,USD,approved,HF-PO-07106,2026-01,Security,HF-104,Controller,PayablesDesk
HF-AP-00006,FuseLine Security,HF-VEN-006,2026-01-18,2026-02-15,24835.2,USD,approved,HF-PO-07107,2026-01,Market Expansion,HF-105,VP Operations,PayablesDesk
HF-AP-00007,BrightBeam Hosting,HF-VEN-007,2026-01-21,2026-02-16,19488,USD,approved,HF-PO-07108,2026-01,Field Operations,HF-106,Security Lead,PayablesDesk
HF-AP-00008,PortKey Identity,HF-VEN-008,2026-01-24,2026-02-17,9317.76,USD,approved,,2026-01,Energy Platform,HF-107,Revenue Ops,PayablesDesk
HF-AP-00009,Cedarline Legal,HF-VEN-009,2026-01-27,2026-02-18,18110.4,USD,approved,HF-PO-07110,2026-01,Hardware,HF-108,Controller,PayablesDesk
HF-AP-00010,BlueTable Analytics,HF-VEN-010,2026-01-03,2026-02-19,9788.16,USD,approved,HF-PO-07111,2026-01,Finance,HF-109,VP Operations,PayablesDesk
HF-AP-00011,Riverbend Recruiting,HF-VEN-011,2026-01-06,2026-02-20,12985.9,USD,approved,HF-PO-07112,2026-01,Security,HF-110,Security Lead,PayablesDesk
HF-AP-00012,AxisWorks Facilities,HF-VEN-012,2026-01-09,2026-02-21,6337.92,USD,approved,HF-PO-07113,2026-01,Market Expansion,HF-111,Revenue Ops,PayablesDesk
HF-AP-00013,SlateFox Insurance,HF-VEN-013,2026-01-12,2026-02-22,9156.48,USD,approved,HF-PO-07114,2026-01,Field Operations,HF-112,Controller,PayablesDesk
HF-AP-00014,SignalPeak AppSec,HF-VEN-014,2026-01-15,2026-02-23,9200,USD,approved,HF-PO-07115,2026-01,Energy Platform,HF-113,VP Operations,PayablesDesk
HF-AP-00015,HelpHarbor Desk,HF-VEN-015,2026-01-18,2026-02-10,7276.32,USD,approved,,2026-01,Hardware,HF-114,Security Lead,PayablesDesk
HF-AP-00016,CloseFrame Accounting,HF-VEN-016,2026-01-21,2026-02-11,7660.8,USD,approved,HF-PO-07117,2026-01,Finance,HF-115,Revenue Ops,PayablesDesk
HF-AP-00017,SkillHarbor Learning,HF-VEN-017,2026-01-24,2026-02-12,4658.88,USD,approved,HF-PO-07118,2026-01,Security,HF-116,Controller,PayablesDesk
HF-AP-00018,Waypost Travel Desk,HF-VEN-018,2026-01-27,2026-02-13,7470.72,USD,in review,HF-PO-07119,2026-01,Market Expansion,HF-117,VP Operations,PayablesDesk
HF-AP-00019,Tundra Test Labs,HF-VEN-019,2026-01-03,2026-02-14,9224.64,USD,approved,HF-PO-07120,2026-01,Field Operations,HF-118,Security Lead,PayablesDesk
HF-AP-00020,VectorPoint Research,HF-VEN-020,2026-01-06,2026-02-15,13180.8,USD,approved,HF-PO-07121,2026-01,Energy Platform,HF-119,Revenue Ops,PayablesDesk
HF-AP-00021,Linebird Communications,HF-VEN-021,2026-01-09,2026-02-16,5539.42,USD,approved,HF-PO-07122,2026-01,Hardware,HF-120,Controller,PayablesDesk
HF-AP-00022,Pinehook Operations,HF-VEN-022,2026-01-12,2026-02-17,13923.84,USD,approved,,2026-01,Finance,HF-121,VP Operations,PayablesDesk
HF-AP-00023,Mossbank Data Exchange,HF-VEN-023,2026-01-15,2026-02-18,8989.44,USD,approved,HF-PO-07124,2026-01,Security,HF-122,Security Lead,PayablesDesk
HF-AP-00024,Ironleaf GRC,HF-VEN-024,2026-01-18,2026-02-19,8442.24,USD,approved,HF-PO-07125,2026-01,Market Expansion,HF-123,Revenue Ops,PayablesDesk
HF-AP-00025,QuartzPay Services,HF-VEN-025,2026-01-21,2026-02-20,10113.6,USD,approved,HF-PO-07126,2026-01,Field Operations,HF-124,Controller,PayablesDesk
HF-AP-00026,HarborDesk Workplace,HF-VEN-026,2026-01-24,2026-02-21,5728.32,USD,approved,HF-PO-07127,2026-01,Energy Platform,HF-125,VP Operations,PayablesDesk
HF-AP-00027,Northstar Design Office,HF-VEN-027,2026-01-27,2026-02-22,7241.6,USD,approved,HF-PO-07128,2026-01,Hardware,HF-126,Security Lead,PayablesDesk
HF-AP-00028,Watchtower Metrics,HF-VEN-028,2026-01-03,2026-02-23,5688.96,USD,approved,HF-PO-07129,2026-01,Finance,HF-127,Revenue Ops,PayablesDesk
HF-AP-00029,SafeCask Backups,HF-VEN-029,2026-01-06,2026-02-10,5719.2,USD,approved,,2026-01,Security,HF-100,Controller,PayablesDesk
HF-AP-00030,KeelWorks Procurement,HF-VEN-030,2026-01-09,2026-02-11,9654.72,USD,approved,HF-PO-07131,2026-01,Market Expansion,HF-101,VP Operations,PayablesDesk
HF-AP-00031,Alder QA Studio,HF-VEN-031,2026-01-12,2026-02-12,14075.04,USD,approved,HF-PO-07132,2026-01,Field Operations,HF-102,Security Lead,PayablesDesk
HF-AP-00032,BridgeLoop Integrations,HF-VEN-032,2026-01-15,2026-02-13,12210.24,USD,approved,HF-PO-07133,2026-01,Energy Platform,HF-103,Revenue Ops,PayablesDesk
HF-AP-00033,Covefront Success Ops,HF-VEN-033,2026-01-18,2026-02-14,11327.52,USD,approved,HF-PO-07134,2026-01,Hardware,HF-104,Controller,PayablesDesk
HF-AP-00034,PeopleField Systems,HF-VEN-034,2026-01-21,2026-02-15,8971.2,USD,approved,HF-PO-07135,2026-01,Finance,HF-105,VP Operations,PayablesDesk
HF-AP-00035,HelioCore Components,HF-VEN-004,2026-02-03,2026-03-10,30620.88,USD,in review,,2026-02,Energy Platform,HF-101,Controller,PayablesDesk
HF-AP-00036,TurbineDesk Analytics,HF-VEN-005,2026-02-06,2026-03-11,25778,USD,approved,HF-PO-07137,2026-02,Hardware,HF-102,VP Operations,PayablesDesk
